('singe', 6934240.75458571)
('reissue', 3542103.9887937466)
('stereolab', 3411404.8535613385)
('handclap', 2233576.344073327)
('darnielle', 2054330.5834493951)
('syncopate', 2022567.7710924733)
('album', 1650603.2631328641)
('kozelek', 1630452.9371392282)
('lyric', 1540234.4858878937)
('exhilarate', 1501730.3610883774)
('banhart', 1242822.734625355)
('guitar', 1233283.2769481956)
('songcraft', 1230711.6822474133)
('synth', 1226678.079932782)
('sophisticate', 1225806.5028130328)
('croon', 1211521.5695220637)
('band', 1083162.253833676)
('strum', 1075294.1495836491)
('vocals', 1023164.9242508464)
('kompakt', 1017686.4681142325)
('synthesizer', 981652.6737066631)
('psychedelia', 966366.8203310006)
('synths', 963422.8315400566)
('bejar', 960485.0029692907)
('melody', 935985.1284539166)
('ayler', 904668.4330815306)
('riff', 894997.2479163498)
('song', 865290.8684595336)
('drum', 837117.9680784353)
('sound', 810198.2636918828)
('slint', 806437.6223697423)
('krautrock', 732671.4964371375)
('eno', 718871.9109821942)
('percussion', 716124.350175791)
('hüsker', 712189.2438370596)
('autechre', 711623.6222944718)
('songwriting', 706713.0765015627)
('dü', 705681.0843404818)
('disorient', 675623.1936332423)
('bassline', 673897.466290546)
('malkmus', 672812.8792109896)
('basinski', 646474.8643135099)
('record', 633378.3283436073)
('anthemic', 628947.8391396713)
('superchunk', 624639.8407148888)
('midtempo', 612169.8208919938)
('taborn', 587582.1422291932)
('track', 584254.6600589585)
('inflect', 582033.8909618628)
('labelmates', 572452.634541295)
('shoegaze', 563871.7501458352)
('allien', 543944.2336426598)
('koze', 522553.918218376)
('gnarl', 520233.7627463289)
('fuzzed', 507052.91021941014)
('albini', 501913.68259482365)
('polyrhythmic', 494759.3852861686)
('balladry', 491795.3193348683)
('melodic', 491705.20571753517)
('basslines', 490257.7450637252)
('madlib', 476612.9532754086)
('lopatin', 468632.3169390294)
('sebadoh', 468362.57713921193)
('funk', 458251.73124389286)
('bassist', 457344.91836712515)
('spiritualize', 453233.95996839256)
('riffage', 453233.95996839256)
('beefheart', 451970.4516407761)
('outtake', 451841.7024584555)
('dubby', 448952.5330916999)
('reverb', 448499.30461906275)
('breakbeats', 447249.8538087315)
('unhinge', 443183.1976450695)
('leithauser', 440668.484112705)
('merzbow', 438032.0342311166)
('fascinate', 436388.83558645245)
('tindersticks', 432926.4214637927)
('oneohtrix', 423809.8760021496)
('hosono', 419886.0441584561)
('percussive', 415269.83283497964)
('shaggs', 413737.5212800279)
('arpeggio', 406864.71621071466)
('cymbal', 406216.8630636451)
('ballad', 404893.3636873626)
('chord', 398735.33048660425)
('timony', 396420.21382083686)
('paak', 394209.42442231526)
('chorus', 385371.67552814825)
('skitter', 382249.84045848565)
('pop', 373052.1971575867)
('distend', 371459.9749724784)
('trebly', 368652.2814002008)
('sleater', 366272.69509109965)
('mulatu', 365389.1180481943)
('deerhunter', 362767.6721364242)
('sonically', 357586.8542370645)
('punk', 355432.7250343881)
('4ad', 352787.1900677121)
('segall', 352218.1341848467)
('idm', 350398.1228143773)
('proggy', 350368.48717857926)
('björk', 347810.88066443324)
('music', 344414.3119245377)
('understate', 343825.56714376004)
('guitarist', 343404.5407990923)
('longstreth', 334613.5842593298)
('groove', 333740.06754425185)
('plainspoken', 332151.22232096794)
('lilt', 329633.88773415046)
('agalloch', 325201.5337117538)
('spiderland', 323248.81425670744)
('dejohnette', 319032.5084901903)
('tracklist', 318012.4077223487)
('fugazi', 314845.4315916698)
('rock', 313661.06776686275)
('bass', 309429.9529635369)
('warble', 309195.6347772675)
('deerhoof', 309037.2634624804)
('mythologize', 306884.5519237011)
('intones', 305916.8267365878)
('indie', 304853.8028009417)
('rhythm', 302866.2862761221)
('rap', 298109.32675548416)
('notwist', 294340.3837134246)
('aphex', 291050.0879941261)
('friedberger', 289659.7225481289)
('vocal', 285497.22495746217)
('hyperdub', 284070.0418063338)
('iceage', 282244.6971406605)
('hebden', 281668.16850977164)
('pitchfork', 280255.6027872874)
('gira', 279136.3798752327)
('godflesh', 278875.1186579148)
('smatter', 278875.1186579148)
('coltrane', 277932.0553017457)
('cloy', 275868.7841263867)
('sunn', 275426.143805875)
('mellotron', 273023.0014772292)
('psychedelic', 272810.6885553517)
('punctuate', 272560.2493733959)
('falsetto', 272558.39729973517)
('drench', 269055.69942966616)
('techno', 267574.5570910717)
('electroclash', 266304.65384140075)
('dilla', 266013.5212849539)
('prefuse', 265899.93263748894)
('burgeon', 261844.82340002083)
('drummer', 261669.21859098942)
('concrète', 260686.8774405633)
('veloso', 254694.82462693294)
('careen', 253698.814388674)
('completists', 248562.60576031535)
('suffuse', 246311.41439855957)
('throb', 243651.4187429059)
('musician', 243154.52294304082)
('sing', 242776.4563537791)
('namedrop', 242158.86722342743)
('acoustic', 241650.72319833277)
('ambient', 240122.78983409042)
('dancefloor', 240029.503573157)
('discography', 238984.57192771247)
('keyboardist', 238628.91077092875)
('songwriter', 238329.21514878527)
('soundtracking', 235086.15163326403)
('propulsive', 233716.82865847065)
('wail', 232179.4539865432)
('jangly', 232021.8236951609)
('ohia', 231656.3916778335)
('overdubs', 231640.6988143398)
('lambchop', 230643.34373716588)
('willner', 230430.42698577666)
('roky', 229007.69324311294)
('drone', 227860.24915967937)
('kraftwerk', 227799.92991632584)
('vibraphone', 227510.2538960033)
('sonic', 226838.4219195623)
('mbv', 225220.47965797837)
('jazz', 224973.24790923164)
('mascis', 224423.7348792057)
('lp', 221702.9175178635)
('remastering', 221678.8599540492)
('destine', 221385.8487549753)
('kelela', 219201.95219858404)
('polyrhythms', 217912.4832392845)
('compilation', 217416.79374826717)
('piano', 215608.032824433)
('disc', 215365.98343753655)
('sprawl', 211679.6324240634)
('dolphy', 210428.70523875867)
('afrobeat', 209482.8395314746)
('disco', 207880.60814054386)
('jam', 207559.73933713432)
('lanois', 207212.64617070416)
('niblock', 207212.64617070416)
('folkie', 206925.91345784516)
('hummable', 206636.3831019489)
('burbling', 201645.23077828583)
('imagistic', 200902.17132610275)
('downtempo', 200649.42462793086)
('uptempo', 199530.2754666111)
